,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,price-binned,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.81,0.89,0.82,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19,8.7,13495.0,Low,Low,0,1,1,0
1,3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.81,0.89,0.82,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19,8.7,16500.0,Low,Low,0,1,1,0
2,1,122,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.82,0.91,0.88,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,12.37,9.04,16500.0,Low,Medium,0,1,1,0
3,2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.85,0.92,0.91,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,9.79,7.83,13950.0,Low,Low,0,1,1,0
4,2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.85,0.92,0.91,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,13.06,10.68,17450.0,Low,Low,0,1,1,0
5,2,122,audi,gas,std,two,sedan,fwd,front,99.8,0.85,0.92,0.89,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.37,9.4,15250.0,Low,Low,0,1,1,0
6,1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.93,0.99,0.93,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.37,9.4,17710.0,Low,Low,0,1,1,0
7,1,122,audi,gas,std,four,wagon,fwd,front,105.8,0.93,0.99,0.93,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.37,9.4,18920.0,Medium,Low,0,1,1,0
8,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.93,0.99,0.93,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,13.82,11.75,23875.0,Medium,Medium,0,1,0,1
9,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.85,0.9,0.91,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.22,8.1,16430.0,Low,Low,0,1,1,0
10,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.85,0.9,0.91,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.22,8.1,16925.0,Low,Low,0,1,1,0
11,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.85,0.9,0.91,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19,8.39,20970.0,Medium,Medium,0,1,1,0
12,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.85,0.9,0.91,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19,8.39,21105.0,Medium,Medium,0,1,1,0
13,1,122,bmw,gas,std,four,sedan,rwd,front,103.5,0.91,0.93,0.93,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.75,9.4,24565.0,Medium,Medium,0,1,1,0
